code,name,date,close,hh20,ll10,sma20,sma55,atr20,atr_pct,turnover_億,shares,position_yen,stop_2atr
3880,大王製紙,2026-09-18,1024,1018,935,977,971,16.1,0.01572265625,2.74747915,400,409600.0,992
4502,武田薬品工業,2026-09-18,5968,5947,5557,5800,5622,103.2,0.017283847184986597,227.25027465,0,0.0,5762
1720,東急建設,2026-09-18,1241,1240,1162,1189,1173,23.0,0.018533440773569703,3.4063351,300,372300.0,1195
3397,トリドールホールディングス,2026-09-18,4451,4439,4166,4322,4218,84.7,0.0190294315884071,13.377894,0,0.0,4282
1721,コムシスホールディングス,2026-09-18,5868,5648,5257,5459,5354,117.5,0.02002385821404226,27.04549625,0,0.0,5633
4847,インテリジェント　ウェイブ,2026-09-18,1530,1472,1342,1386,1186,34.6,0.022647058823529412,1.22432685,200,306000.0,1461
6652,ＩＤＥＣ,2026-09-18,3810,3785,3465,3627,3522,90.5,0.023753280839895013,3.514993,0,0.0,3629
7180,九州フィナンシャルグループ,2026-09-18,1678,1649,1564,1593,1551,40.8,0.024329558998808107,17.623654,100,167800.0,1596
8418,山口フィナンシャルグループ,2026-09-18,3443,3307,3103,3208,3108,84.0,0.02438280569270985,16.985783,0,0.0,3275
8137,サンワテクノス,2026-09-18,4640,4630,4105,4271,4012,116.8,0.025161637931034483,1.90288025,0,0.0,4406
9960,東テク,2026-09-18,4395,4315,3815,4004,3984,110.8,0.02519908987485779,3.4661715,0,0.0,4174
7280,ミツバ,2026-09-18,1383,1382,1232,1328,1249,34.9,0.025234996384671003,2.63302385,200,276600.0,1313
8334,群馬銀行,2026-09-18,3000,2952,2770,2856,2677,75.9,0.025304217369561597,32.83273125,0,0.0,2848
8341,七十七銀行,2026-09-18,4185,4128,3819,3967,3731,110.8,0.026475507765830346,27.1047712,0,0.0,3963
6794,フォスター電機,2026-09-18,3240,3205,2851,3024,2950,86.2,0.02658950617283951,4.2799648,0,0.0,3068
1980,ダイダン,2026-09-18,2926,2914,2631,2780,2708,83.6,0.02857142857142857,13.47421285,0,0.0,2759
8377,ほくほくフィナンシャルグループ,2026-09-18,8604,8514,7910,8252,7916,248.6,0.028899349139934916,30.79024965,0,0.0,8107
7380,十六フィナンシャルグループ,2026-09-18,2723,2706,2512,2615,2522,81.7,0.030003672420124864,11.1284726,0,0.0,2560
6742,京三製作所,2026-09-18,1106,1098,953,1022,966,36.8,0.03327305605786618,2.56049495,100,110600.0,1032
8387,四国銀行,2026-09-18,4440,4385,3610,3824,3513,159.8,0.03597972972972973,7.96366125,0,0.0,4120
8343,秋田銀行,2026-09-18,9880,9810,8680,9068,8131,355.5,0.03598178137651822,13.16991,0,0.0,9169
7384,プロクレアホールディングス,2026-09-18,5430,5380,4675,4870,4459,196.2,0.036141804788213626,4.70747,0,0.0,5038
3132,マクニカホールディングス,2026-09-18,4088,3997,3431,3660,3479,149.4,0.03653375733855186,32.0532253,0,0.0,3789
6258,平田機工,2026-09-18,3790,3775,3365,3510,3275,143.8,0.0379287598944591,10.0808175,0,0.0,3502
4933,Ｉ－ｎｅ,2026-09-18,2370,2265,1386,1582,1392,90.4,0.03812236286919831,3.7717177,0,0.0,2189
8344,山形銀行,2026-09-18,5380,5240,4455,4722,4285,209.2,0.03889405204460967,8.430223,0,0.0,4962
4565,ネクセラファーマ,2026-09-18,1299,1268,1123,1177,1032,52.7,0.04056966897613549,14.97245155,100,129900.0,1194
5301,東海カーボン,2026-09-18,2128,2100,1776,1865,1746,86.6,0.04070505287896592,38.14762795,0,0.0,1954
4092,日本化学工業,2026-09-18,5760,5690,5100,5356,5216,234.5,0.04071180555555556,6.6350605,0,0.0,5291
8362,福井銀行,2026-09-18,8080,8000,6830,7250,6524,354.5,0.04387376237623762,8.1259,0,0.0,7371
3156,レスター,2026-09-18,5890,5830,4975,5278,4573,263.8,0.044779286926994906,5.78170225,0,0.0,5362
