variant,code,name,market,entry_date,exit_date,entry,exit,ret,days,reason,atr_pct,r_multiple,bench,excess,sample
D1_hh20_ll10,8160,木曽路,プライム（内国株式）,2023-12-28,2024-01-25,2471.8340759395583,2521.0776324421054,0.01692186974921828,16,ll,0.011992200270558306,0.8306177890527658,0.07586509876545922,-0.05894322901624094,IS
D1_hh20_ll10,8160,木曽路,プライム（内国株式）,2024-02-29,2024-03-27,2635.979561505839,2548.113349624239,-0.03633341925891298,18,ll,0.017326012751546858,-0.96194721015477,0.03965257038377823,-0.07598598964269121,IS
D1_hh20_ll10,8160,木曽路,プライム（内国株式）,2024-06-05,2024-08-05,2440.5673727328553,2416.3361391009707,-0.012928524777724656,42,ll,0.01256950521701161,-0.3949449324499819,-0.1899980286430124,0.17706950386528775,IS
D1_hh20_ll10,8160,木曽路,プライム（内国株式）,2025-01-28,2025-02-25,2066.01204639149,2079.6490563129983,0.003600643953323937,18,ll,0.013554932300665777,0.24347756989533842,-0.033564636441766105,0.03716528039509004,IS
D1_hh20_ll10,8160,木曽路,プライム（内国株式）,2025-03-28,2025-04-01,2189.5749369776527,2115.4357306985294,-0.03686009084551367,2,ll,0.012923451020365845,-1.310025116052755,-0.0575526476129693,0.020692556767455628,IS
D1_hh20_ll10,8160,木曽路,プライム（内国株式）,2025-04-14,2025-06-26,2209.345458984375,2291.3928572028094,0.03413651836782072,50,ll,0.019937227526621984,0.9313360726367955,0.17861833366907387,-0.14448181530125315,IS
D1_hh20_ll10,8160,木曽路,プライム（内国株式）,2025-08-01,2025-09-30,2413.969407263896,2487.2592138891373,0.027360702337280943,39,ll,0.011343165364223074,1.3382817477491808,0.09405467480397811,-0.06669397246669717,IS
D1_hh20_ll10,8160,木曽路,プライム（内国株式）,2025-11-25,2026-01-29,2480.3003434839857,2483.2826462004678,-0.0017976041997022048,43,ll,0.013486968768493169,0.04457620614895349,0.09767890602877127,-0.09947651022847348,OOS
D1_hh20_ll10,8160,木曽路,プライム（内国株式）,2026-02-06,2026-03-04,2575.73486328125,2517.0824599279326,-0.025771133857542924,16,ll,0.009822468279101281,-1.1591350162968608,0.007943433232554975,-0.0337145670900979,OOS
D1_hh20_ll10,8160,木曽路,プライム（内国株式）,2026-04-07,2026-04-15,2585.0,2430.0,-0.06296131528046423,6,ll,0.01379729348093236,-2.172937589655892,0.08837733369743317,-0.1513386489778974,OOS
D1_hh20_ll10,8160,木曽路,プライム（内国株式）,2026-06-30,2026-09-18,2363.0,2422.0,0.021968260685569233,56,ll,0.015425306813372832,0.8093278463648833,-0.06404608094676534,0.08601434163233457,OOS
D2_hh20_ll10_sma20>55,8160,木曽路,プライム（内国株式）,2024-02-29,2024-03-27,2635.979561505839,2548.113349624239,-0.03633341925891298,18,ll,0.017326012751546858,-0.96194721015477,0.03965257038377823,-0.07598598964269121,IS
D2_hh20_ll10_sma20>55,8160,木曽路,プライム（内国株式）,2024-06-26,2024-08-05,2520.0459390649075,2416.3361391009707,-0.044153932297924525,27,ll,0.009596147226811855,-2.14429454473872,-0.1969392000220176,0.15278526772409307,IS
D2_hh20_ll10_sma20>55,8160,木曽路,プライム（内国株式）,2025-02-12,2025-02-25,2137.119420276989,2079.6490563129983,-0.029891507989077134,8,ll,0.012853236361731565,-1.0460987113386593,-0.014519737040803005,-0.01537177094827413,IS
D2_hh20_ll10_sma20>55,8160,木曽路,プライム（内国株式）,2025-03-28,2025-04-01,2189.5749369776527,2115.4357306985294,-0.03686009084551367,2,ll,0.012923451020365845,-1.310025116052755,-0.0575526476129693,0.020692556767455628,IS
D2_hh20_ll10_sma20>55,8160,木曽路,プライム（内国株式）,2025-04-14,2025-06-26,2209.345458984375,2291.3928572028094,0.03413651836782072,50,ll,0.019937227526621984,0.9313360726367955,0.17861833366907387,-0.14448181530125315,IS
D2_hh20_ll10_sma20>55,8160,木曽路,プライム（内国株式）,2025-08-01,2025-09-30,2413.969407263896,2487.2592138891373,0.027360702337280943,39,ll,0.011343165364223074,1.3382817477491808,0.09405467480397811,-0.06669397246669717,IS
D2_hh20_ll10_sma20>55,8160,木曽路,プライム（内国株式）,2026-02-06,2026-03-04,2575.73486328125,2517.0824599279326,-0.025771133857542924,16,ll,0.009822468279101281,-1.1591350162968608,0.007943433232554975,-0.0337145670900979,OOS
D2_hh20_ll10_sma20>55,8160,木曽路,プライム（内国株式）,2026-07-29,2026-09-18,2489.0,2422.0,-0.029918441141020487,36,ll,0.015468059461631177,-0.8701298701298701,0.04255641254661646,-0.07247485368763695,OOS
D3_hh55_ll20_sma20>55,8160,木曽路,プライム（内国株式）,2024-02-29,2024-03-29,2635.979561505839,2502.5993465119345,-0.05359986691160423,20,ll,0.017326012751546858,-1.4602282601658214,0.029621741240833055,-0.08322160815243729,IS
D3_hh55_ll20_sma20>55,8160,木曽路,プライム（内国株式）,2024-06-26,2024-08-05,2520.0459390649075,2416.3361391009707,-0.044153932297924525,27,ll,0.009596147226811855,-2.14429454473872,-0.1969392000220176,0.15278526772409307,IS
D3_hh55_ll20_sma20>55,8160,木曽路,プライム（内国株式）,2025-02-12,2025-04-01,2137.119420276989,2115.4357306985294,-0.013146222701794105,32,ll,0.012853236361731565,-0.39469525091761615,-0.08187101710442868,0.06872479440263457,IS
D3_hh55_ll20_sma20>55,8160,木曽路,プライム（内国株式）,2025-04-14,2025-10-02,2209.345458984375,2388.8423721371105,0.0782443850384763,116,ll,0.019937227526621984,2.037504586081274,0.3379769823077894,-0.2597325972693131,IS
D3_hh55_ll20_sma20>55,8160,木曽路,プライム（内国株式）,2026-02-06,2026-03-05,2575.73486328125,2541.9350628196303,-0.016122391183757908,17,ll,0.009822468279101281,-0.6679782927717709,0.027128813250784756,-0.04325120443454267,OOS
D3_hh55_ll20_sma20>55,8160,木曽路,プライム（内国株式）,2026-07-29,2026-09-18,2489.0,2422.0,-0.029918441141020487,36,ll,0.015468059461631177,-0.8701298701298701,0.04255641254661646,-0.07247485368763695,OOS
D4_hh20_ll10_sma_prime,8160,木曽路,プライム（内国株式）,2024-02-29,2024-03-27,2635.979561505839,2548.113349624239,-0.03633341925891298,18,ll,0.017326012751546858,-0.96194721015477,0.03965257038377823,-0.07598598964269121,IS
D4_hh20_ll10_sma_prime,8160,木曽路,プライム（内国株式）,2024-06-26,2024-08-05,2520.0459390649075,2416.3361391009707,-0.044153932297924525,27,ll,0.009596147226811855,-2.14429454473872,-0.1969392000220176,0.15278526772409307,IS
D4_hh20_ll10_sma_prime,8160,木曽路,プライム（内国株式）,2025-02-12,2025-02-25,2137.119420276989,2079.6490563129983,-0.029891507989077134,8,ll,0.012853236361731565,-1.0460987113386593,-0.014519737040803005,-0.01537177094827413,IS
D4_hh20_ll10_sma_prime,8160,木曽路,プライム（内国株式）,2025-03-28,2025-04-01,2189.5749369776527,2115.4357306985294,-0.03686009084551367,2,ll,0.012923451020365845,-1.310025116052755,-0.0575526476129693,0.020692556767455628,IS
D4_hh20_ll10_sma_prime,8160,木曽路,プライム（内国株式）,2025-04-14,2025-06-26,2209.345458984375,2291.3928572028094,0.03413651836782072,50,ll,0.019937227526621984,0.9313360726367955,0.17861833366907387,-0.14448181530125315,IS
D4_hh20_ll10_sma_prime,8160,木曽路,プライム（内国株式）,2025-08-01,2025-09-30,2413.969407263896,2487.2592138891373,0.027360702337280943,39,ll,0.011343165364223074,1.3382817477491808,0.09405467480397811,-0.06669397246669717,IS
D4_hh20_ll10_sma_prime,8160,木曽路,プライム（内国株式）,2026-02-06,2026-03-04,2575.73486328125,2517.0824599279326,-0.025771133857542924,16,ll,0.009822468279101281,-1.1591350162968608,0.007943433232554975,-0.0337145670900979,OOS
D4_hh20_ll10_sma_prime,8160,木曽路,プライム（内国株式）,2026-07-29,2026-09-18,2489.0,2422.0,-0.029918441141020487,36,ll,0.015468059461631177,-0.8701298701298701,0.04255641254661646,-0.07247485368763695,OOS
D1_hh20_ll10,6282,オイレス工業,プライム（内国株式）,2024-03-07,2024-05-14,2008.9426616403769,2044.6414752147912,0.014769951455590461,44,ll,0.018568171011928154,0.47850570323202923,-0.043269864097497446,0.0580398155530879,IS
D1_hh20_ll10,6282,オイレス工業,プライム（内国株式）,2024-06-19,2024-07-11,2191.484005089962,2176.6137075866727,-0.009785492145391591,16,ll,0.021967792952450372,-0.15444182672512705,0.09723765710933052,-0.10702314925472212,IS
D1_hh20_ll10,6282,オイレス工業,プライム（内国株式）,2024-11-25,2025-01-15,2246.889976672152,2246.890229579562,-0.0029998874411242245,32,ll,0.021094747634357577,2.667936061914642e-06,0.004198286116474215,-0.007198173557598439,IS
D1_hh20_ll10,6282,オイレス工業,プライム（内国株式）,2025-03-19,2025-04-01,2316.898395382755,2219.3018245045732,-0.04512380269789895,8,ll,0.024703965934727398,-0.8525716641853802,-0.05868454614102514,0.013560743443126189,IS
